,regime,factor,is_mean,is_p,is_n,confirmed,oos_mean,oos_win_rate,oos_n,fdr_pass
92,nifty_ret_5d:mkt_strong,vix_chg_1d <= 2.644,-0.005354602773672869,0.8404696839558293,179,False,0.013465971669336196,0.5140324963072378,677,False
48,nifty_above_50dma:downtrend,gap_idiosyncratic > -0.01217,0.004584465851793084,0.7780565121061073,414,True,0.0028763382038769375,0.4885057471264368,1044,False
79,nifty_ret_5d:mkt_strong,rv20 <= 24.11,-0.004198243528955451,0.8780424958050748,174,False,0.021686193611689126,0.5185185185185185,702,False
87,nifty_ret_5d:mkt_strong,zscore_20d <= -0.06472,-0.003959024138349656,0.880082642464362,174,False,0.0206841009056002,0.5100286532951289,698,False
10,nifty_above_50dma:uptrend,range_compression <= 0.9738,-0.003735963246955055,0.8787505767205577,179,False,0.0151649003864489,0.5233463035019456,1028,False
44,nifty_above_50dma:downtrend,nifty_ret_5d <= -0.7662,0.003617009258320257,0.8223474417853359,402,False,-0.0036730679032631803,0.48306772908366535,1004,False
46,nifty_above_50dma:downtrend,vix_chg_1d <= 0.9564,0.0028083046525749404,0.8615558140539161,416,True,0.012603015488782737,0.5088044485634847,1079,False
26,nifty_above_50dma:downtrend,gap_abs <= 0.5783,0.0027122288225651593,0.8693347242129764,414,True,0.004159031297440728,0.48938321536905965,989,False
24,nifty_above_50dma:downtrend,(baseline),0.002430414412799414,0.8354730098150327,828,True,0.0016458360904035914,0.4939467312348668,2065,False
71,nifty_ret_5d:mkt_strong,(baseline),-0.0017361605482634893,0.9257952806085322,347,False,0.019549027641546656,0.5256312165263963,1307,False
